	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	upsilon	upsilon_min	upsilon_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max
68	BD(p)		0.4035125100934035	0.38228626444394653	0.4254381685218511	0.13937483475199727	0.12478061389924755	0.15558503852149916				2.89516045569784	2.7428643422192	3.0524747834060086	7.174896399191388	6.427353230765935	8.01406539646805	0.8807411117846224	0.8807411117846224	0.8807411117846224						
68	real	939.0	0.40857829226308406			0.10969895554910619			54.15966237120348			3.724541315985329			9.115857074430895			0.8807411117846224			0.14701198679257932			0.01846392603310793		
68	BDPN(p)		0.4008720603961857	0.37978505721123057	0.4227977767416017	0.1117134436112468	0.09873921193805382	0.12601696028371098	47.731384519782296	36.96990744360579	60.95180872975082	3.588395876428141	3.399636113025483	3.7846633589857066	8.95147412588868	7.9354397832532095	10.127688689954011	0.8807411117846224	0.8807411117846224	0.8807411117846224	0.1443089714495702	0.11781474622250065	0.17355622340197752	0.020950576021643567	0.01640640402377257	0.027049026333793462
69	BD(p)		0.5741628812234024	0.5489750592946396	0.6008504302797664	0.3657638457915732	0.3358418115664833	0.3962702616898341				1.5697639004774224	1.5009002820018122	1.6427277796673068	2.734004499093767	2.5235302688010264	2.977592323408605	0.13798650226567902	0.13798650226567902	0.13798650226567902						
69	BDPN(p)		0.42181930073900825	0.4045591341071349	0.4399314694642947	0.05868388500795226	0.0460655351624627	0.07298816027433723	32.99619558533984	29.75638718092605	36.457807371397095	7.187992081332848	6.893871018462956	7.496631646058872	17.040453266931625	13.700852251123285	21.708203247248225	0.13798650226567902	0.13798650226567902	0.13798650226567902	0.7278267228386114	0.6851806257972864	0.7687590320992108	0.030306524199544337	0.02742896712939869	0.033606230283258424
69	real	812.0	0.4108729203044178			0.08955656322422104			32.09552211220427			4.5878593987101			11.166127461773174			0.13798650226567902			0.7884713313842606			0.031156994315407995		
70	BDPN(p)		0.4152203929056641	0.3941857635784233	0.4371457945274475	0.056539563163479974	0.042654672372609975	0.07370473029286596	7.458361557709585	6.385091382350748	8.673728452869447	7.343891068013472	6.971857253984513	7.731679731296698	17.686730212410268	13.567650217652204	23.444090515207762	0.16016660224258006	0.16016660224258006	0.16016660224258006	0.5094545774667187	0.4547280115279111	0.5650241761130671	0.1340777049037421	0.11529067406637332	0.15661482978366364
70	real	526.0	0.38601415778119824			0.08062075529443449			7.362988851701281			4.78802457718783			12.403753801957164			0.16016660224258006			0.5274678655428192			0.1358144118022047		
70	BD(p)		0.4844474514898756	0.4608416188975966	0.5092309715840427	0.23775413759936806	0.20908469124944454	0.2682644600438993				2.0375984047276714	1.9383116674677865	2.1418385258225525	4.206025645219552	3.7276648566729937	4.782750922720443	0.16016660224258006	0.16016660224258006	0.16016660224258006						
71	BD(p)		0.12080077830700076	0.11144134250176632	0.1303363694250665	0.10749037289001827	0.09833885646978233	0.11702609094600193				1.1238288142381028	1.0367564974008472	1.2125399319102157	9.303158721229645	8.545102992984866	10.168920362697943	0.7040170000710573	0.7040170000710573	0.7040170000710573						
