	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	psi_p	psi_p_min	psi_p_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	pn	pn_min	pn_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max	type_max
72	BDPN(p)		0.5393530022475312	0.5192107665067025	0.5598757274059082	0.1170541334336944	0.0966823263197231	0.1402078273760721	27.05964558462039	23.69857831805541	30.758293102906457	4.60772282384243	4.435646578860972	4.783049611170296	8.543055855148012	7.1322694225747645	10.3431520326999	0.1225592073160813	0.1225592073160813	0.1225592073160813	0.4837226895109758	0.4406771664778011	0.5270503217694236	0.0369553990229775	0.0325115570182763	0.0421966240581665	BDPN(p)
73	real	705.0	0.538403783710846			0.11085600565103505			23.520452017167404			4.856784984709748			9.020711093884367			0.4074720652993481			0.4043528719914019			0.0425161897088588			
73	BDPN(p)		0.5410520225462552	0.5153745002340278	0.5673532351867818	0.0960502758837914	0.0807809688692566	0.1137809545043042	23.390608729075357	20.093414816667472	27.152016208956823	5.633008521504495	5.365674335569476	5.906836081066612	10.411214239612091	8.788817112288953	12.379153332742176	0.4074720652993481	0.4074720652993481	0.4074720652993481	0.4109851656780769	0.3665684378290421	0.4564626132133085	0.0427522007478567	0.0368296774834026	0.0497675486782117	BDPN(p)
73	BDPN(lambda)		0.5384037837108459	0.5384037837108459	0.5384037837108459	0.0412575573021776	0.0348493719113036	0.049750868754929	23.16325110609917	19.93945848121692	26.90940938727499	13.049822115436497	13.049822115436497	13.049822115436497	24.237983666260803	20.10015151546325	28.694921749095947	0.9375189261617596	0.8107653422528425	0.9999684921514462	0.4196501476244668	0.3712794976334319	0.4617665285738387	0.0431718326334893	0.0371617223406205	0.0501518133474891	BDPN(lambda)
73	BDPN(psi)		0.5253283250937504	0.499630348711287	0.5516299515104617	0.110856005651035	0.110856005651035	0.110856005651035	23.654962937962694	20.28928293923677	27.507520464241992	4.738835050104889	4.507021029461223	4.976094423309318	9.020711093884367	9.020711093884367	9.020711093884367	0.4383826785279656	0.3756744319543455	0.5110870375271224	0.4116124517943932	0.3668270238551488	0.4574724140782408	0.0422744268347657	0.0363536946668797	0.0492871040832169	BDPN(psi)
74	BDPN(psi)		0.1739098734547341	0.1613722190562829	0.1870504119608189	0.1042839026522145	0.1042839026522145	0.1042839026522145	26.00112419762653	17.945116477335326	37.1264143964093	1.6676578938047733	1.5474317219835665	1.7936652465398195	9.589207677957614	9.589207677957614	9.589207677957614	0.999999	0.8653377883605956	0.999999	0.1345992635856933	0.1014277667432494	0.1724974759195108	0.0384598755192009	0.0269350007604482	0.055725467219062	BDPN(psi)
74	BDPN(p)		0.1921270717103882	0.1791084064254277	0.205714319739361	0.1123355619028742	0.1007834100941043	0.1246425383825516	25.820027680603676	17.83707239050247	36.84287705612765	1.710296084836448	1.5944052212093405	1.8312484155037425	8.901900547438432	8.022943153891894	9.922267951305397	0.763171291525252	0.763171291525252	0.763171291525252	0.1262255611527318	0.0950108888048462	0.1619572630587175	0.0387296254043605	0.0271422885481111	0.056063011805259	BDPN(p)
74	real	596.0	0.18934262453481743			0.10428390265221454			15.121620454497203			1.8156457489539168			9.589207677957614			0.763171291525252			0.160465900934706			0.0661304787412911			
74	BDPN(lambda)		0.1893426245348174	0.1893426245348174	0.1893426245348174	0.0976641999159798	0.0871387523665347	0.1089581769759471	25.54625703198197	17.631382510148022	36.42755201032944	1.9387106503479088	1.9387106503479088	1.9387106503479088	10.239166458746364	9.177833438060857	11.475950399125129	0.9437135952546446	0.8248099304234848	0.999971516892214	0.1323081740871005	0.0998337648219069	0.1694064055050684	0.0391446777799219	0.027451748602718	0.0567170498073213	BDPN(lambda)
75	BDPN(p)		0.764207980233002	0.7220508011490868	0.8075967805253985	0.1719513504362615	0.1467844402035795	0.2005268631630134	61.71205180382263	27.62106487289009	123.93546077810755	4.444326713888045	4.199157490285222	4.696658551831241	5.8155984088690085	4.986863027858139	6.812711201630579	0.6194340122258544	0.6194340122258544	0.6194340122258544	0.030762128823024	0.0151544499382936	0.0517334710369058	0.0162042902604974	0.0080687157147895	0.0362042522474031	BDPN(p)
