	type	lambda	psi	psi_p	p	pn	R_naught	infectious_time	partner_removal_time	lambda_error	psi_error	psi_p_error	p_error	pn_error	R_naught_error	infectious_time_error	partner_removal_time_error
11	BDPN(lambda)	0.1654249180430332	0.1174545454467431	29.22366442277846	0.181949469553621	0.0602405523975078	1.4084164849800644	8.513931889110456	0.0342188435212302	0.0	-0.05004480309673565	-0.26125895649625525	-0.002934726703221785	-0.014371847775178297	0.052681224609197226	0.05268122460919726	0.35365431336688535
11	BDPN(p)	0.1642470525094071	0.1170622312510446	50.45278687345788	0.1848841962568428	0.0529702203215092	1.403074678776392	8.542464886522282	0.0198205106589677	-0.007120242509775227	-0.05321778297252674	0.2753891463905161	0.0	-0.021642179851176897	0.04868864204851625	0.056209107031614726	-0.2159255841010553
12	BDPN(lambda)	0.5410693624378136	0.1160072683305146	16.73987778089694	0.9	0.2598883068016453	4.664098812293906	8.62014953365607	0.0597375926568096	0.0	-0.3061316679626586	0.01673566908144383	0.3363357288458697	0.02157277355204723	0.4411956185747703	0.44119561857477024	-0.01646019667684549
12	BDPN(psi)	0.5179241581863654	0.1671891668407653	17.323890606791757	0.7158995257126602	0.2534469994854229	3.097833238678961	5.981248778830402	0.0577237540167769	-0.04277677846545656	0.0	0.052207055375907904	0.15223525455852993	0.015131466235824786	-0.0427767784654568	0.0	-0.049616712898068634
12	BDPN(p)	0.5524293205823925	0.1701664852519308	17.255724886104357	0.5636642711541303	0.2473356702798372	3.2464049531523385	5.876597841928181	0.0579517816029436	0.02099538235429942	0.017808082110972907	0.048066850737698834	0.0	0.0090201370302391	0.003131533635217562	-0.017496502949787843	-0.04586239007928525
13	BDPN(psi)	0.143040626046031	0.0578845792816003	25.622829029389177	0.3882519929365617	0.5503055029790844	2.471135280264518	17.275758283309642	0.0390276967017579	-0.037863700885366565	0.0	0.04637500800020366	0.0374906854753464	-0.06170063746036092	-0.037863700885366246	0.0	-0.04431968237547583
13	BDPN(p)	0.1453247509095298	0.0512433215409681	25.545497510658056	0.3507613074612153	0.5456773040658518	2.835974455585302	19.514738114712504	0.0391458416334534	-0.022499957705332918	-0.11473276342432098	0.04321697387219489	0.0	-0.06632883637359355	0.10418639921178398	0.129602405560743	-0.04142663985976425
13	BDPN(lambda)	0.1486698154696567	0.05	25.58477159204975	0.4130964368835997	0.5501618509926814	2.973396309393135	20.0	0.0390857505372743	0.0	-0.13621208583451788	0.04482083335169656	0.062335129422384394	-0.0618442894467639	0.1576915856320059	0.15769158563200592	-0.04289810455627722
14	BDPN(lambda)	0.8246717612113882	0.1182440690992789	39.683007663625695	0.9	0.3129900346317906	6.974318183510629	8.457083789635064	0.0251997028167958	0.0	-0.2930444894153996	0.024502048539441927	0.26734173063671274	-0.03157966909910609	0.4145161683131566	0.4145161683131566	-0.02391605617028778
14	BDPN(p)	0.8335711193860903	0.1641324191912861	39.86696718790814	0.6326582693632873	0.3084672763458957	5.078650052763892	6.092641569089178	0.0250834229573225	0.010791394338069176	-0.018688048400653776	0.029251358649029637	0.0	-0.03610242738500097	0.030040847551767273	0.01904394252021096	-0.028420034040495597
14	BDPN(psi)	0.8032286018038676	0.1672581475480681	40.00942864134193	0.725002184667309	0.3108296232400221	4.802328697159752	5.978781988558203	0.0249941084878851	-0.026002053684998305	0.0	0.03292930695672825	0.09234391530402175	-0.03374008049087457	-0.026002053684998274	0.0	-0.03187953593237543
15	BDPN(lambda)	0.1688020359701885	0.05	13.476070990609124	0.8186703816371239	0.2272978062877659	3.376040719403771	20.0	0.0742056049346174	0.0	-0.20142586819479694	0.09295850323787494	0.26952046833838494	0.013664892293317216	0.2522318970431306	0.2522318970431308	-0.08505217989748723
15	BDPN(psi)	0.1686458175232103	0.0626115948521565	13.661633345863857	0.6656830938028501	0.2219769686698957	2.693523746223527	15.971482636104051	0.07319768981377	-0.000925453570985242	0.0	0.10800828697660997	0.1165331805041111	0.008344054675446994	-0.0009254535709852954	0.0	-0.09747967433648858
15	BDPN(p)	0.1780752801745312	0.0616471496970822	13.536356681694407	0.549149913298739	0.2163236823969676	2.8886214699227124	16.22135013400838	0.0738751219042807	0.054935618229038474	-0.015403619047743901	0.09784789264085064	0.0	0.0026907684025188894	0.07143966668733133	0.015644602545507834	-0.0891270032003074
16	BDPN(lambda)	0.6885477022580453	0.0608003510753191	32.54434556310521	0.9	0.786983128830681	11.324732342500402	16.44727345013528	0.0307273040123344	1.612412649093528e-16	-0.6668004632215906	0.11345789169789075	0.6124485645702753	-0.0843646704910912	2.0012046525293905	2.0012046525293896	-0.10189688585787558
16	BDPN(p)	0.7159404894616038	0.1477922827516609	32.54928423817829	0.2875514354297247	0.7732071778086498	4.844234598261241	6.766253158700614	0.0307226417847634	0.03978342693429354	-0.19006520058949072	0.11362686134959221	0.0	-0.09814062151312242	0.2837865809582124	0.23466728522817482	-0.10203315427565399
16	BDPN(psi)	0.6772839336814876	0.182474296522668	32.719881997840865	0.3823846280602092	0.7812183615521898	3.7116675969612607	5.480223894852908	0.030562457409412	-0.016358733809754604	0.0	0.11946361788949396	0.09483319263048445	-0.09012943776958238	-0.016358733809754663	0.0	-0.10671505172693233
17	BDPN(p)	0.3206554339205339	0.0663939629215009	19.909050480074523	0.2905477083863256	0.3134881342871141	4.829587206590632	15.06161036331453	0.0502284125001754	0.004038060621103958	0.006852133341923595	-0.08239264428093623	0.0	-0.06413204631283459	-0.002794921545709645	-0.006805501140650543	0.0897907408516458
