	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	phi	phi_min	phi_max	R_naught	R_naught_min	R_naught_max	infectious_time	infectious_time_min	infectious_time_max	p	p_min	p_max	upsilon	upsilon_min	upsilon_max	partner_removal_time	partner_removal_time_min	partner_removal_time_max
11	BD(p)		0.24023609359974285	0.2290219017122549	0.25167743611270976	0.11595306855486118	0.10517621837784294	0.12739583337417548				2.071839034480397	1.9751258381221464	2.1705112184558786	8.624178837724052	7.849550283665013	9.507852777207914	0.4438036290312925	0.4438036290312925	0.4438036290312925						
11	BDPN(p)		0.2401505573707001	0.2289403749939486	0.2515919008625516	0.11574938327531192	0.10499162859325142	0.12719215042561927	9.466443381233939	0.001	1000000.0	2.0747458912977352	1.9778971474034548	2.173591718101304	8.639354886422874	7.862120395431088	9.524568895622194	0.4438036290312925	0.4438036290312925	0.4438036290312925	0.0011722452947946474	0.0	0.015803511232859186	0.1056362944062368	1e-06	1000.0
12	real	619.0	0.5416450273625862			0.14267804025975414						3.796274650089728			7.008787043748558			0.5901426952579006			0					
12	BD(p)		0.5460991726739086	0.5162890616683042	0.5766000851747426	0.1347845199917613	0.11544847608670206	0.15576252706092958				4.051646084485732	3.830477429454528	4.277939968254421	7.419249629416827	6.4200293797803525	8.661872671658289	0.5901426952579006	0.5901426952579006	0.5901426952579006						
12	BDPN(p)		0.5460991726739086	0.5162890616683042	0.5766000851747426	0.1347845199917613	0.11544847608670206	0.15576252706092958	764914.0526845214	0.001	1000000.0	4.051646084485732	3.830477429454528	4.277939968254421	7.419249629416827	6.4200293797803525	8.661872671658289	0.5901426952579006	0.5901426952579006	0.5901426952579006	0.0	0.0	0.00390625	1.3073364209879887e-06	1e-06	1000.0
13	BD(p)		0.3912524667001094	0.3691483230784235	0.41413169523557	0.06921186637243422	0.05802085704570674	0.08256238272401084				5.6529680126634725	5.333598737129972	5.983536016889018	14.448389451296187	12.112053540688084	17.23518146607583	0.5655140458681811	0.5655140458681811	0.5655140458681811						
13	BDPN(p)		0.3913547842708328	0.3692448453179926	0.4142340104644301	0.06900959130165446	0.05678911786463842	0.08236011035389462	10.196316903699422	0.001	1000000.0	5.671020171096859	5.3506308087516565	6.002557074330898	14.490739347068493	12.141800146977491	17.609007457794693	0.5655140458681811	0.5655140458681811	0.5655140458681811	0.0008734618182291793	0.0	0.015509104467376212	0.09807462924550536	1e-06	1000.0
13	real	554.0	0.38310088355527083			0.07729190673355979						4.9565459017060345			12.937965205686982			0.5655140458681811			0					
14	BDPN(p)		0.4475795340094039	0.4310072466145237	0.464737988492806	0.13440563958646642	0.11929328197706203	0.15061592391886294	167284.8643374887	0.001	1000000.0	3.3300651325829604	3.2067645966391627	3.457726847792192	7.440163992201202	6.639404214249628	8.382701719886308	0.29932704471897004	0.29932704471897004	0.29932704471897004	0.0	0.0	0.0029296875	5.977827127160476e-06	1e-06	1000.0
14	real	957.0	0.4502166234431202			0.13326113441394777						3.3784540813273933			7.504063389507924			0.29932704471897004			0					
